repository_owner,repository_name,file_path,filename,original_file_path,repository_url,file_url,branch,stargazers_count,forks_count,created_at,pushed_at,updated_at,lines_of_agents,manifest_specific_commit_count,first_manifest_commit_date,comparable_path,source_dataset,lines_of_claude,lines_of_copilot-instructions,ID,total_repo_commits_after_manifest_initialization,Note,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Label10,Label11,Label12,Label13,Label14,Label15,ID,Note,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Label10,Label11,Label12,Label13,Label14,Label15
PostHog,posthog,CLAUDE.md,CLAUDE.md,raw/PostHog/posthog/CLAUDE.md,https://github.com/PostHog/posthog,https://github.com/PostHog/posthog/blob/master/CLAUDE.md,master,29713.0,1996.0,2020-01-23T22:46:58Z,2025-10-18T18:21:52Z,2025-10-18T18:41:40Z,,9,2025-02-25T19:20:38Z,PostHog/posthog/CLAUDE.md,claude,3.0,,139,5885,,Documentation & References,,,,,,,,,,,,,,,139,,Documentation & References,,,,,,,,,,,,,,
Sylius,Sylius,CLAUDE.md,CLAUDE.md,raw/Sylius/Sylius/CLAUDE.md,https://github.com/Sylius/Sylius,https://github.com/Sylius/Sylius/blob/master/CLAUDE.md,master,8325.0,2149.0,2011-11-05T22:05:52Z,2025-10-18T02:28:08Z,2025-10-18T10:01:46Z,,1,2025-06-12T05:56:34Z,Sylius/Sylius/CLAUDE.md,claude,,,130,281,,Documentation & References,,,,,,,,,,,,,,,130,,Documentation & References,,,,,,,,,,,,,,
docdyhr,mcp-wordpress,CLAUDE.md,CLAUDE.md,raw/docdyhr/mcp-wordpress/CLAUDE.md,https://github.com/docdyhr/mcp-wordpress,https://github.com/docdyhr/mcp-wordpress/blob/main/CLAUDE.md,main,53.0,8.0,2025-06-25T12:00:39Z,2025-10-14T19:45:55Z,2025-10-14T19:45:57Z,,43,2025-06-26T20:36:55Z,docdyhr/mcp-wordpress/CLAUDE.md,claude,130.0,,53,301,,Build  & Run,Test,Architecture,Configuration & Environment,Deployment and Operations,Development Process,System Overview,Security,,,,,,,,53,,Build  & Run,Test,Architecture,Configuration & Environment,Deployment and Operations,Development Process,System Overview,Security,,,,,,,
ryanmac,code-conductor,CLAUDE.md,CLAUDE.md,raw/ryanmac/code-conductor/CLAUDE.md,https://github.com/ryanmac/code-conductor,https://github.com/ryanmac/code-conductor/blob/main/CLAUDE.md,main,27.0,2.0,2025-07-22T21:09:32Z,2025-07-26T23:53:00Z,2025-10-16T12:35:03Z,,14,2025-07-23T19:21:34Z,ryanmac/code-conductor/CLAUDE.md,claude,386.0,,135,134,,System Overview,Implementation Details,Architecture,Claude/AI Integration,Development Process,Debugging,Security,Test,Documentation & References,,,,,,,135,,System Overview,Implementation Details,Architecture,Claude/AI Integration,Development Process,Debugging,Security,Test,Documentation & References,,,,,,
BeehiveInnovations,zen-mcp-server,CLAUDE.md,CLAUDE.md,raw/BeehiveInnovations/zen-mcp-server/CLAUDE.md,https://github.com/BeehiveInnovations/zen-mcp-server,https://github.com/BeehiveInnovations/zen-mcp-server/blob/main/CLAUDE.md,main,9118.0,760.0,2025-06-08T15:36:50Z,2025-10-17T20:33:58Z,2025-10-18T19:25:24Z,,10,2025-06-15T05:25:52Z,BeehiveInnovations/zen-mcp-server/CLAUDE.md,claude,320.0,,37,370,,Build  & Run,Development Process,Debugging,Architecture,Configuration & Environment,Test,,,,,,,,,,37,,Build  & Run,Development Process,Debugging,Architecture,Configuration & Environment,Test,,,,,,,,,
berachain,beacon-kit,CLAUDE.md,CLAUDE.md,raw/berachain/beacon-kit/CLAUDE.md,https://github.com/berachain/beacon-kit,https://github.com/berachain/beacon-kit/blob/main/CLAUDE.md,main,312.0,253.0,2024-02-02T19:52:58Z,2025-10-17T11:37:35Z,2025-10-16T15:32:22Z,,3,2025-06-24T15:12:32Z,berachain/beacon-kit/CLAUDE.md,claude,762.0,,126,65,,System Overview,Architecture,Build  & Run,Test,Configuration & Environment,Implementation Details,Development Process,,,,,,,,,126,,System Overview,Architecture,Build  & Run,Test,Configuration & Environment,Implementation Details,Development Process,,,,,,,,
vespa-engine,pyvespa,.github/copilot-instructions.md,copilot-instructions.md,raw/vespa-engine/pyvespa/.github/copilot-instructions.md,https://github.com/vespa-engine/pyvespa,https://github.com/vespa-engine/pyvespa/blob/master/.github/copilot-instructions.md,master,145.0,42.0,2020-06-10T10:48:27Z,2025-10-13T11:14:43Z,2025-10-15T13:50:24Z,,2,2025-07-29T06:02:40Z,vespa-engine/pyvespa/copilot-instructions.md,copilot-instructions,,134.0,270,85,,System Overview,Architecture,Implementation Details,Debugging,Test,Configuration & Environment,Documentation & References,Build  & Run,,,,,,,,270,,System Overview,Architecture,Implementation Details,Debugging,Test,Configuration & Environment,Documentation & References,Build  & Run,,,,,,,
dynamoose,dynamoose,.github/copilot-instructions.md,copilot-instructions.md,raw/dynamoose/dynamoose/.github/copilot-instructions.md,https://github.com/dynamoose/dynamoose,https://github.com/dynamoose/dynamoose/blob/main/.github/copilot-instructions.md,main,2230.0,367.0,2014-02-18T20:24:54Z,2025-10-14T15:07:52Z,2025-10-16T01:18:03Z,,2,2025-05-20T20:51:59Z,dynamoose/dynamoose/copilot-instructions.md,copilot-instructions,,19.0,255,42,,System Overview,Architecture,Build  & Run,Implementation Details,Development Process,,,,,,,,,,,255,,System Overview,Architecture,Build  & Run,Implementation Details,Development Process,,,,,,,,,,
gofiber,fiber,.github/copilot-instructions.md,copilot-instructions.md,raw/gofiber/fiber/.github/copilot-instructions.md,https://github.com/gofiber/fiber,https://github.com/gofiber/fiber/blob/main/.github/copilot-instructions.md,main,38176.0,1887.0,2020-01-16T03:59:20Z,2025-10-18T18:12:38Z,2025-10-18T21:28:32Z,,1,2025-07-15T11:02:39Z,gofiber/fiber/copilot-instructions.md,copilot-instructions,,14.0,213,133,,Implementation Details,Maintanability,Documentation & References,,,,,,,,,,,,,213,,Implementation Details,Maintanability,Documentation & References,,,,,,,,,,,,
dsccommunity,SqlServerDsc,.github/copilot-instructions.md,copilot-instructions.md,raw/dsccommunity/SqlServerDsc/.github/copilot-instructions.md,https://github.com/dsccommunity/SqlServerDsc,https://github.com/dsccommunity/SqlServerDsc/blob/main/.github/copilot-instructions.md,main,384.0,228.0,2015-04-15T22:43:08Z,2025-10-18T17:40:54Z,2025-10-15T10:51:42Z,,9,2025-03-12T11:41:17Z,dsccommunity/SqlServerDsc/copilot-instructions.md,copilot-instructions,,2.0,203,46,,Implementation Details,Documentation & References,,,,,,,,,,,,,,203,,Implementation Details,Documentation & References,,,,,,,,,,,,,
