repository_owner,repository_name,repository_url,original_flesch_score,textstat_score,py_readability_score
ensdomains,namechain,https://github.com/ensdomains/namechain,49.720350877193,60.59730038022815,60.470456820131545
Pipelex,pipelex,https://github.com/Pipelex/pipelex,40.46385190152316,53.09942547269188,50.86385708908065
Pipelex,pipelex-cookbook,https://github.com/Pipelex/pipelex-cookbook,40.19753584764752,53.515706119704106,51.721619043097036
anzax,dockashell,https://github.com/anzax/dockashell,16.99517351416037,33.0884131811365,30.90273107394367
blimmer,benlimmer.com,https://github.com/blimmer/benlimmer.com,34.261208279430804,54.564454806312796,55.06378241255396
waldzellai,adk-typescript,https://github.com/waldzellai/adk-typescript,27.79770731707319,54.306706349206365,52.57359387274158
EchoingVesper,mcp-task-orchestrator,https://github.com/EchoingVesper/mcp-task-orchestrator,12.953812828207106,28.194153633436656,25.276570596109963
ashphy,jsonpath-js,https://github.com/ashphy/jsonpath-js,22.80756788389513,48.45924332746242,48.72973582474228
maybe-finance,maybe,https://github.com/maybe-finance/maybe,-4.889863387978124,41.35486027368651,40.8112241939632
ai-shifu,ai-shifu,https://github.com/ai-shifu/ai-shifu,0.0,,
kubetail-org,kubetail,https://github.com/kubetail-org/kubetail,16.56786776859508,51.40955587471694,43.90069360830026
tsuzukia21,st-chat-input-multimodal,https://github.com/tsuzukia21/st-chat-input-multimodal,27.909656862745123,48.3812307692308,43.52653846153848
Bad3r,dotfiles,https://github.com/Bad3r/dotfiles,2.9071318000884787,23.698065663474722,25.78302197802202
tokens-studio,figma-plugin,https://github.com/tokens-studio/figma-plugin,9.59806632124355,47.4478948988089,45.08610115462312
opsmill,infrahub-sdk-python,https://github.com/opsmill/infrahub-sdk-python,-14.284174311926565,19.44454289732775,16.364944960902108
opsmill,infrahub,https://github.com/opsmill/infrahub,11.774715664439526,38.774688513037376,36.179199601214236
opsmill,infrahub-sync,https://github.com/opsmill/infrahub-sync,0.0,,
ComposioHQ,composio,https://github.com/ComposioHQ/composio,8.510573476702518,29.082556818181843,32.28562053681361
engkimo,SynthepseAI,https://github.com/engkimo/SynthepseAI,7.715826086956554,36.78687843358222,34.79120725405133
seratch,openai-sdk-knowledge-org,https://github.com/seratch/openai-sdk-knowledge-org,11.063851211760038,41.757964474800985,38.341069306930706
kkrt-labs,cairo-m,https://github.com/kkrt-labs/cairo-m,6.885433644434357,34.00881892198291,31.79957365933842
gensx-inc,gensx,https://github.com/gensx-inc/gensx,-11.92507125407164,33.950037248388384,34.84698144911951
goto-lab,pufu-editor,https://github.com/goto-lab/pufu-editor,-27.41,64.32417647058827,68.35928657074342
coleam00,context-engineering-intro,https://github.com/coleam00/context-engineering-intro,46.655121391076136,50.3604651162791,53.49282059431113
openshift-pipelines,pipelines-as-code,https://github.com/openshift-pipelines/pipelines-as-code,0.0,,
laststance,utils,https://github.com/laststance/utils,21.679003334127174,47.402955230804906,55.26286776859507
laststance,eslint-config-ts-prefixer,https://github.com/laststance/eslint-config-ts-prefixer,29.106728965702047,45.30048556124828,50.99128965517244
nicholasgriffintn,ai-platform,https://github.com/nicholasgriffintn/ai-platform,36.46974554707381,62.22061121999019,43.21528927813165
duyet,monorepo,https://github.com/duyet/monorepo,17.554434731071296,45.63447004608298,43.58853863878059
PostHog,mcp,https://github.com/PostHog/mcp,20.812068607068625,49.09266665174874,43.41784267827981
PostHog,posthog,https://github.com/PostHog/posthog,19.100000000000023,27.485000000000014,
eyaltoledano,claude-task-master,https://github.com/eyaltoledano/claude-task-master,18.28833190394513,51.79223768248178,48.774328317038055
joamag,boytacean,https://github.com/joamag/boytacean,39.2164809782609,60.19491048593352,60.42078463203467
metabase,metabase,https://github.com/metabase/metabase,52.42841976061257,62.24090787494353,61.649566297980186
